Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
China,CHN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3041.782139,3487.258993,4132.672201,4770.263182,5239.785134,5753.408668,6012.718649,6078.485222,6658.943735,7331.859806,7470.113815,7510.442656,9015.348004,..,..
Colombia,COL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,4280.981467,5121.888449,5701.3386,6333.716591,6548.41345,6588.061797,5260.868776,5070.85301,5446.607779,5630.586587,5391.534175,4605.788773,5127.309256,..,..
Comoros,COM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1300.22322,1271.99789,1399.465636,1354.676173,1458.950417,1472.793388,1206.76011,1241.49323,1298.833296,1420.75982,1403.4939,1399.473105,1452.961979,..,..
"Congo, Dem. Rep.",COD,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,176.9281302,212.8009824,238.5158355,262.8283924,287.5938605,292.446628,314.5802622,320.3196093,314.2501527,398.4549715,445.4385346,397.0828078,327.8098533,..,..
"Congo, Rep.",COG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,933.9085135,1046.879948,935.7287468,1507.981464,1926.896187,2126.773459,1463.932608,1161.754419,859.931916,1036.392719,869.8960694,764.0292039,1069.208061,..,..
Costa Rica,CRI,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,6205.200799,7525.70741,8427.831673,9250.980911,9833.060348,9894.223728,10614.15739,10960.22077,11011.31106,11226.58729,11493.0208,10980.84397,11172.4316,..,..
Cote d'Ivoire,CIV,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,996.0788264,1005.800805,982.6118286,1040.716009,1183.405123,1894.472682,1715.603416,1720.588157,1783.15387,1947.71214,1929.045074,1972.115482,2164.043178,..,..
Croatia,HRV,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,11560.02743,11109.97575,11677.72547,10625.5449,11265.00965,11306.57767,10121.64965,10404.45543,11582.54042,12984.30368,13113.7613,12231.38931,14553.48421,..,..
Cuba,CUB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,4318.125162,4438.656214,5164.666882,5495.469329,5830.573378,6107.338454,6645.266827,6957.900384,7366.416254,7586.049674,7891.258815,..,..,..,..
Curacao,CUW,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,28200.11719,26890.35352,29378.47852,25145.88867,23695.25586,22731.18359,20165.85156,20629.85742,22676.03906,24887.57031,24414.5918,22488.41602,24687.48242,..,..
Czechia,CZE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,14319.40418,14232.53146,15447.39968,14334.3443,14511.85955,14284.85669,12903.36809,13479.63918,15315.25211,17451.20067,17471.65529,16844.23511,19843.78291,..,..
Denmark,DNK,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,47573.96705,48113.33602,51361.50182,48806.80302,51939.82636,53755.90909,45798.0298,46794.91137,49220.80391,52836.99612,50967.6115,52242.03137,58796.35993,..,..
Djibouti,DJI,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,993.5814728,973.70773,1070.893547,1155.788418,1611.218613,1861.616007,2043.606977,2078.635435,2103.255646,2287.402078,2423.395567,2481.423541,2747.300462,..,..
Dominica,DMA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,6000.036541,6038.564705,5887.154928,5737.61181,5733.917611,6095.654798,6321.031522,6902.890624,6608.946449,7001.511604,7587.308523,6467.869116,7024.401891,..,..
